,name,size,terrace,age_1,ku,room,Living,Dining,Kitchen,Service,No.ofRooms,price
16109,西麻布ガーデン,91.98,9.8,16129 days,港,2,1,1,1,0,5,5280
16110,オープンレジデンシア麻布六本木,31.57,3.76,942 days,港,1,1,1,1,0,4,5280
16111,メロディーハイム南砂町フェイシア,74.15,24.74,5812 days,江東,3,1,1,1,0,6,5280
16112,メイゾン豊玉,104.87,7,13664 days,練馬,5,1,1,1,0,8,5280
16113,ル・グラン門前仲町,68.23,8.6,10620 days,江東,3,1,1,1,0,6,5280
16114,エスリール世田谷赤堤,71.65,14.8,5812 days,世田谷,2,1,1,1,0,5,5280
16116,シャンボール瀬田,61.7,6.03,13268 days,世田谷,1,1,1,1,0,4,5280
16117,シティインデックス千代田岩本町,40.12,5.63,2007 days,千代田,1,1,1,1,0,4,5280
16118,ダイアパレス三軒茶屋,49.34,6.36,15309 days,世田谷,2,1,1,1,0,5,5280
16119,ルフォン中野上鷺宮壱番館,78.03,12.96,4837 days,中野,3,1,1,1,0,6,5280
